"","values","ind"
"224","MEFV","REACTOME_INNATE_IMMUNE_SYSTEM"
"225","MAP3K1","REACTOME_INNATE_IMMUNE_SYSTEM"
"226","MYD88","REACTOME_INNATE_IMMUNE_SYSTEM"
"227","ATF1","REACTOME_INNATE_IMMUNE_SYSTEM"
"228","NFKB2","REACTOME_INNATE_IMMUNE_SYSTEM"
"229","NFKBIA","REACTOME_INNATE_IMMUNE_SYSTEM"
"230","NFKBIB","REACTOME_INNATE_IMMUNE_SYSTEM"
"231","P2RX7","REACTOME_INNATE_IMMUNE_SYSTEM"
"232","DEFB107B","REACTOME_INNATE_IMMUNE_SYSTEM"
"233","DEFB104B","REACTOME_INNATE_IMMUNE_SYSTEM"
"234","DEFB106B","REACTOME_INNATE_IMMUNE_SYSTEM"
"235","DEFB105B","REACTOME_INNATE_IMMUNE_SYSTEM"
"236","PCBP2","REACTOME_INNATE_IMMUNE_SYSTEM"
"237","IRAK4","REACTOME_INNATE_IMMUNE_SYSTEM"
"238","HERC5","REACTOME_INNATE_IMMUNE_SYSTEM"
"239","TLR7","REACTOME_INNATE_IMMUNE_SYSTEM"
"240","ECSIT","REACTOME_INNATE_IMMUNE_SYSTEM"
"241","TLR8","REACTOME_INNATE_IMMUNE_SYSTEM"
"242","PIK3C3","REACTOME_INNATE_IMMUNE_SYSTEM"
"243","PIN1","REACTOME_INNATE_IMMUNE_SYSTEM"
"244","PLCG2","REACTOME_INNATE_IMMUNE_SYSTEM"
"245","TLR9","REACTOME_INNATE_IMMUNE_SYSTEM"
"246","RNF125","REACTOME_INNATE_IMMUNE_SYSTEM"
"247","PPP2CA","REACTOME_INNATE_IMMUNE_SYSTEM"
"248","PPP2CB","REACTOME_INNATE_IMMUNE_SYSTEM"
"249","PPP2R1A","REACTOME_INNATE_IMMUNE_SYSTEM"
"250","PPP2R1B","REACTOME_INNATE_IMMUNE_SYSTEM"
"251","PPP2R5D","REACTOME_INNATE_IMMUNE_SYSTEM"
"252","OTUD5","REACTOME_INNATE_IMMUNE_SYSTEM"
"253","PRKCSH","REACTOME_INNATE_IMMUNE_SYSTEM"
"254","DEFB103B","REACTOME_INNATE_IMMUNE_SYSTEM"
"255","MAPK1","REACTOME_INNATE_IMMUNE_SYSTEM"
"256","MAPK3","REACTOME_INNATE_IMMUNE_SYSTEM"
"257","MAPK7","REACTOME_INNATE_IMMUNE_SYSTEM"
"258","MAPK8","REACTOME_INNATE_IMMUNE_SYSTEM"
"259","MAPK11","REACTOME_INNATE_IMMUNE_SYSTEM"
"260","MAPK9","REACTOME_INNATE_IMMUNE_SYSTEM"
"261","MAPK10","REACTOME_INNATE_IMMUNE_SYSTEM"
"262","MAPK13","REACTOME_INNATE_IMMUNE_SYSTEM"
"263","MAP2K1","REACTOME_INNATE_IMMUNE_SYSTEM"
"264","MAP2K2","REACTOME_INNATE_IMMUNE_SYSTEM"
"265","MAP2K3","REACTOME_INNATE_IMMUNE_SYSTEM"
"266","MAP2K6","REACTOME_INNATE_IMMUNE_SYSTEM"
"267","MAP2K7","REACTOME_INNATE_IMMUNE_SYSTEM"
"268","PROS1","REACTOME_INNATE_IMMUNE_SYSTEM"
"269","LGMN","REACTOME_INNATE_IMMUNE_SYSTEM"
"270","PRSS2","REACTOME_INNATE_IMMUNE_SYSTEM"
"271","MASP1","REACTOME_INNATE_IMMUNE_SYSTEM"
"272","PELI2","REACTOME_INNATE_IMMUNE_SYSTEM"
"273","PELI1","REACTOME_INNATE_IMMUNE_SYSTEM"
"274","MAVS","REACTOME_INNATE_IMMUNE_SYSTEM"
"275","NLRC4","REACTOME_INNATE_IMMUNE_SYSTEM"
"276","SIGIRR","REACTOME_INNATE_IMMUNE_SYSTEM"
"277","BCL2","REACTOME_INNATE_IMMUNE_SYSTEM"
"278","RELA","REACTOME_INNATE_IMMUNE_SYSTEM"
"279","BCL2L1","REACTOME_INNATE_IMMUNE_SYSTEM"
"280","DEFB135","REACTOME_INNATE_IMMUNE_SYSTEM"
"281","DEFB136","REACTOME_INNATE_IMMUNE_SYSTEM"
"282","DEFB134","REACTOME_INNATE_IMMUNE_SYSTEM"
"283","RPS6KA1","REACTOME_INNATE_IMMUNE_SYSTEM"
"284","RPS6KA2","REACTOME_INNATE_IMMUNE_SYSTEM"
"285","RPS6KA3","REACTOME_INNATE_IMMUNE_SYSTEM"
"286","RPS27A","REACTOME_INNATE_IMMUNE_SYSTEM"
"287","S100A12","REACTOME_INNATE_IMMUNE_SYSTEM"
"288","S100B","REACTOME_INNATE_IMMUNE_SYSTEM"
"289","SAA1","REACTOME_INNATE_IMMUNE_SYSTEM"
"290","CFB","REACTOME_INNATE_IMMUNE_SYSTEM"
"291","MAPK12","REACTOME_INNATE_IMMUNE_SYSTEM"
"292","NOD2","REACTOME_INNATE_IMMUNE_SYSTEM"
"293","IFIH1","REACTOME_INNATE_IMMUNE_SYSTEM"
"294","ZFYVE20","REACTOME_INNATE_IMMUNE_SYSTEM"
"295","MAP2K4","REACTOME_INNATE_IMMUNE_SYSTEM"
"296","CARD9","REACTOME_INNATE_IMMUNE_SYSTEM"
"297","DEFB131","REACTOME_INNATE_IMMUNE_SYSTEM"
"298","LOC644816","REACTOME_INNATE_IMMUNE_SYSTEM"
"299","LOC650832","REACTOME_INNATE_IMMUNE_SYSTEM"
"300","LOC651536","REACTOME_INNATE_IMMUNE_SYSTEM"
"301","LOC653879","REACTOME_INNATE_IMMUNE_SYSTEM"
"302","MAP3K7","REACTOME_INNATE_IMMUNE_SYSTEM"
"303","BTK","REACTOME_INNATE_IMMUNE_SYSTEM"
"304","TLR1","REACTOME_INNATE_IMMUNE_SYSTEM"
"305","TLR2","REACTOME_INNATE_IMMUNE_SYSTEM"
"306","TLR3","REACTOME_INNATE_IMMUNE_SYSTEM"
"307","TLR4","REACTOME_INNATE_IMMUNE_SYSTEM"
"308","TLR5","REACTOME_INNATE_IMMUNE_SYSTEM"
