,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S10-28388_,,,,,,,,,,,,M-S10-28388_1,,,,,,,,,,,,M-S10-28388_2,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,8,1,282,1167,731,1,1,1,282,1167,0,,8,1,963,417,1194,1,1,1,963,417,0,,8,1,1032,195,1659,1,1,1,1032,195,0
,8,1,156,1101,505,1,1,1,156,1101,0,,8,1,888,303,1123,1,1,1,888,303,0,,8,1,924,141,1459,1,1,1,924,141,0
,8,1,132,1026,525,1,1,1,132,1026,0,,8,1,1875,516,558,1,1,1,1875,516,0,,8,1,849,189,1834,1,1,1,849,189,0
,8,1,81,1032,403,1,1,1,81,1032,0,,8,1,1857,480,841,1,1,1,1857,480,0,,8,1,747,174,1498,1,1,1,747,174,0
,8,1,54,1086,502,1,1,1,54,1086,0,,8,1,1854,363,683,1,1,1,1854,363,0,,8,1,909,267,1354,1,1,1,909,267,0
,8,1,18,1128,347,1,1,1,18,1128,0,,8,1,1860,216,1681,1,1,1,1860,216,0,,8,1,624,201,1803,1,1,1,624,201,0
,8,1,36,1017,458,1,1,1,36,1017,0,,8,1,1878,144,640,1,1,1,1878,144,0,,8,1,1884,249,300,1,1,1,1884,249,0
,8,1,69,954,433,1,1,1,69,954,0,,8,1,2640,285,1398,1,1,1,2640,285,0,,8,1,2022,162,1111,1,1,1,2022,162,0
,8,1,51,924,441,1,1,1,51,924,0,,8,1,1569,678,961,1,1,1,1569,678,0,,8,1,2160,156,1125,1,1,1,2160,156,0
,8,1,168,876,647,1,1,1,168,876,0,,8,1,1314,549,328,1,1,1,1314,549,0,,8,1,2295,81,859,1,1,1,2295,81,0
,8,1,201,885,515,1,1,1,201,885,0,,8,1,1350,486,981,1,1,1,1350,486,0,,8,1,2124,24,1108,1,1,1,2124,24,0
,8,1,138,798,697,1,1,1,138,798,0,,8,1,1374,444,254,1,1,1,1374,444,0,,8,1,1815,18,792,1,1,1,1815,18,0
