,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S11-32228_,,,,,,,,,,,,M-S11-32228_1,,,,,,,,,,,,M-S11-32228_3,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,2,2,154,685,209,2,1,1,154,685,0,,2,2,2643,438,213,2,1,1,2643,438,0,,2,3,2592,2256,231,3,1,1,2592,2256,0
,2,2,230,620,208,2,1,1,230,620,0,,2,2,2793,342,206,2,1,1,2793,342,0,,2,3,2493,2262,208,3,1,1,2493,2262,0
,2,2,322,862,207,2,1,1,322,862,0,,2,2,2904,459,213,2,1,1,2904,459,0,,2,3,2709,2265,207,3,1,1,2709,2265,0
,2,2,209,870,201,2,1,1,209,870,0,,2,2,2196,600,213,2,1,1,2196,600,0,,2,3,2721,2220,208,3,1,1,2721,2220,0
,2,2,154,912,203,2,1,1,154,912,0,,2,2,2139,609,215,2,1,1,2139,609,0,,2,3,2763,2187,207,3,1,1,2763,2187,0
,2,2,124,831,214,2,1,1,124,831,0,,2,2,2103,543,211,2,1,1,2103,543,0,,2,3,2751,2382,206,3,1,1,2751,2382,0
,2,2,283,1025,207,2,1,1,283,1025,0,,2,2,1845,306,206,2,1,1,1845,306,0,,2,3,2898,2379,201,3,1,1,2898,2379,0
,2,2,296,964,214,2,1,1,296,964,0,,2,2,1551,210,209,2,1,1,1551,210,0,,2,3,2970,2442,210,3,1,1,2970,2442,0
,2,2,276,1092,204,2,1,1,276,1092,0,,2,2,1491,249,204,2,1,1,1491,249,0,,2,3,3093,2466,219,3,1,1,3093,2466,0
,2,2,344,1101,215,2,1,1,344,1101,0,,2,2,1413,180,204,2,1,1,1413,180,0,,2,3,3012,2121,210,3,1,1,3012,2121,0
,2,2,381,1066,205,2,1,1,381,1066,0,,2,2,1464,114,207,2,1,1,1464,114,0,,2,3,3183,1995,206,3,1,1,3183,1995,0
,2,2,357,1053,214,2,1,1,357,1053,0,,2,2,1485,63,207,2,1,1,1485,63,0,,5,1,588,1692,430,1,1,1,588,1692,0
,2,2,341,1162,206,2,1,1,341,1162,0,,2,2,1638,105,204,2,1,1,1638,105,0,,5,1,516,1614,462,1,1,1,516,1614,0
,2,2,461,1121,209,2,1,1,461,1121,0,,2,2,1770,168,211,2,1,1,1770,168,0,,5,1,612,1476,514,1,1,1,612,1476,0
,2,2,585,1151,208,2,1,1,585,1151,0,,2,2,375,489,208,2,1,1,375,489,0,,5,1,471,1635,576,1,1,1,471,1635,0
